
INA219 Test
Config Reg: 0xFFFF
Calibration Reg: 0xFFFF
32.766,344.62,1857.0,0.00
32.766,344.62,5667.1,0.00
32.766,344.62,4187.4,0.00
32.766,344.62,6225.3,0.00
32.766,344.62,5890.9,0.00
32.766,344.62,4870.4,0.00
32.766,344.62,1756.0,0.00
32.766,344.62,5358.8,0.00
32.766,344.62,3246.5,0.00
32.766,344.62,3353.9,0.00
32.766,344.62,3681.6,0.00
32.766,344.62,4681.7,0.00
32.766,344.62,1180.2,0.00
32.766,344.62,3601.6,0.00
32.766,344.62,4437.6,0.00
32.766,344.62,435.2,0.00
32.766,344.62,1328.1,0.00
32.766,344.62,4053.0,0.00
32.766,344.62,5815.1,0.00
32.766,344.62,4639.0,0.00
32.766,344.62,1049.9,0.00
32.766,344.62,3204.0,0.00
32.766,344.62,3224.2,0.00
32.766,344.62,3285.8,0.00
32.766,344.62,3473.8,0.00
32.766,344.62,4047.5,0.00
32.766,344.62,5798.3,0.00
32.766,344.62,4587.8,0.00
32.766,344.62,893.6,0.00
32.766,344.62,2727.0,0.00
32.766,344.62,1768.5,0.00
32.766,344.62,5397.0,0.00
32.766,344.62,3363.1,0.00
32.766,344.62,3709.7,0.00
32.766,344.62,4767.5,0.00
32.766,344.62,1442.0,0.00
32.766,344.62,4400.6,0.00
32.766,344.62,322.3,0.00
32.766,344.62,983.5,0.00
32.766,344.62,3001.4,0.00
32.766,344.62,2605.9,0.00
32.766,344.62,1398.9,0.00
32.766,344.62,4269.1,0.00
32.766,344.62,6474.6,0.00
32.766,344.62,98.1,0.00
32.766,344.62,299.3,0.00
32.766,344.62,913.3,0.00
32.766,344.62,2787.1,0.00
32.766,344.62,1951.9,0.00
32.766,344.62,5956.7,0.00
32.766,344.62,5071.2,0.00
32.766,344.62,2368.8,0.00
32.766,344.62,675.4,0.00
32.766,344.62,2061.1,0.00
32.766,344.62,6289.9,0.00
32.766,344.62,6088.0,0.00
32.766,344.62,5471.9,0.00
32.766,344.62,3591.7,0.00
32.766,344.62,4407.3,0.00
32.766,344.62,342.8,0.00
32.766,344.62,1046.1,0.00
32.766,344.62,3192.4,0.00
32.766,344.62,3188.8,0.00
32.766,344.62,3177.8,0.00
32.766,344.62,3144.2,0.00
32.766,344.62,3041.7,0.00
32.766,344.62,2728.9,0.00
32.766,344.62,1774.3,0.00
32.766,344.62,5414.7,0.00
32.766,344.62,3417.1,0.00
32.766,344.62,3874.5,0.00
32.766,344.62,5270.4,0.00
32.766,344.62,2976.7,0.00
32.766,344.62,2530.5,0.00
32.766,344.62,1168.8,0.00
32.766,344.62,3566.8,0.00
32.766,344.62,4331.4,0.00
32.766,344.62,111.1,0.00
32.766,344.62,339.0,0.00
32.766,344.62,1034.5,0.00
32.766,344.62,3157.0,0.00
32.766,344.62,3080.7,0.00
32.766,344.62,2847.9,0.00
32.766,344.62,2137.5,0.00
32.766,344.62,6523.1,0.00
32.766,344.62,246.1,0.00
32.766,344.62,751.0,0.00
32.766,344.62,2291.8,0.00
32.766,344.62,440.4,0.00
32.766,344.62,1343.9,0.00
32.766,344.62,4101.2,0.00
32.766,344.62,5962.2,0.00
32.766,344.62,5087.9,0.00
32.766,344.62,2419.8,0.00
32.766,344.62,831.0,0.00
32.766,344.62,2536.0,0.00
32.766,344.62,1185.6,0.00
32.766,344.62,3618.1,0.00
32.766,344.62,4487.9,0.00
32.766,344.62,588.7,0.00
32.766,344.62,1796.5,0.00
32.766,344.62,5482.4,0.00
32.766,344.62,3623.7,0.00
32.766,344.62,4505.0,0.00
32.766,344.62,640.9,0.00
32.766,344.62,1955.8,0.00
32.766,344.62,5968.6,0.00
32.766,344.62,5107.5,0.00
32.766,344.62,2479.6,0.00
32.766,344.62,1013.5,0.00
32.766,344.62,3092.9,0.00
32.766,344.62,2885.1,0.00
32.766,344.62,2251.0,0.00
32.766,344.62,315.9,0.00
32.766,344.62,964.0,0.00
32.766,344.62,2941.8,0.00
32.766,344.62,2424.0,0.00
32.766,344.62,843.8,0.00
32.766,344.62,2575.0,0.00
32.766,344.62,1304.6,0.00
32.766,344.62,3981.3,0.00
32.766,344.62,5596.3,0.00
32.766,344.62,3971.3,0.00
32.766,344.62,5565.8,0.00
32.766,344.62,3878.2,0.00
32.766,344.62,5281.7,0.00
32.766,344.62,3011.2,0.00
32.766,344.62,2635.8,0.00
32.766,344.62,1490.2,0.00
32.766,344.62,4547.7,0.00
32.766,344.62,771.2,0.00
32.766,344.62,2353.5,0.00
32.766,344.62,628.7,0.00
32.766,344.62,1918.6,0.00
32.766,344.62,5855.1,0.00
32.766,344.62,4761.1,0.00
32.766,344.62,1422.5,0.00
32.766,344.62,4341.1,0.00
