timestamp_ns,busv,current,power,soc,hall_speed,int_r,v_unloaded,drain_time,max_time
1779637578332370138,12.796,1.78,464.25,0.0,0.0,-3594.382022471908,6.397999999999999,,
1779637578733055063,12.796,1.68,1416.775,98.27999999999689,0.0,-1.0093820026683227e-11,12.795999999999983,1.7796375783323717e+18,1.779637578740068e+18
1779637579133379858,12.796,1.8,1046.85,98.27999999999913,0.0,1.463512868449946e-12,12.795999999999996,1.7796375781990088e+18,1.7796375790139146e+18
1779637579534102075,12.796,1.73,1556.325,98.2799999999985,0.0,-4.7083339399888344e-12,12.795999999999992,1.7796375779318943e+18,1.7796375792903706e+18
1779637580334942746,12.796,1.715,1217.6,98.27999999999561,0.0,-1.2691700814103487e-11,12.795999999999976,1.779637577058276e+18,1.7796375797995438e+18
1779637580935506415,12.792,1.73,439.0,96.96691208315553,0.0,-3.8111736682434034,12.788705067128642,1.7796375759961175e+18,1.7796375802865093e+18
1779637581335848984,12.788,1.715,1339.7,92.1505998588533,0.0,-18.630910374036834,12.76194777699363,1.7796375747924818e+18,1.779637580768021e+18
1779637583137735252,12.78,1.73,1170.425,89.92226600985255,0.0,-25.615763546792046,12.748056650246314,1.779637570225463e+18,1.7796375820787817e+18
1779637584139047779,12.788,1.8,1109.4,97.55999999999858,0.0,-4.088335731052076e-12,12.791999999999993,1.7796375668995402e+18,1.779637582946955e+18
1779637584539173583,12.776,1.75,108.8,99.02191977077344,0.0,8.022922636080285,12.804383954154687,1.7796375648842158e+18,1.7796375834527956e+18
1779637584939510703,12.784,1.75,332.025,99.04416747809184,0.0,10.905550146093866,12.808833495618368,1.7796375632211912e+18,1.7796375838519506e+18
1779637585540177800,12.776,1.73,1013.25,96.5174603174651,0.0,-1.4109347442526576,12.786208112874807,1.7796375608771983e+18,1.7796375843769336e+18
1779637585940695765,12.78,1.78,1453.775,99.0979219487943,0.0,18.095948297277932,12.81958438975886,1.779637559298767e+18,1.7796375847148977e+18
1779637586341020614,12.78,1.78,1159.75,99.2201722652884,0.0,32.38587424632449,12.844034453057679,1.7796375577873677e+18,1.7796375850238305e+18
