timestamp_ns,busv,current,power,hall_speed
1778784955101034017,13.016,1.85,467.0,0.0
1778784955492466751,13.012,1.9975,1425.15,0.0
1778784955890436940,13.008,2.365,1072.4,0.0
1778784956290566878,13.02,2.0175,1634.3,0.0
1778784956691139051,13.012,2.0675,72.275,0.0
1778784957091455788,13.008,1.9675,220.55,0.0
1778784957491885594,13.004,1.8825,673.05,0.0
1778784957892498293,13.008,2.0475,415.575,0.0
1778784958293259078,12.992,2.0475,1268.225,0.0
1778784958693602014,12.996,2.0325,593.5,0.0
1778784959094194875,13.008,2.0175,172.8,0.0
1778784959494945520,13.0,1.9475,527.325,0.0
1778784959895724650,13.0,1.9975,1609.25,0.0
1778784960296091049,13.004,2.0175,1634.225,0.0
1778784960696821276,12.996,1.9475,72.05,0.0
1778784961097473228,13.032,1.9825,219.875,0.0
1778784961497973807,13.0,2.0675,671.0,0.0
1778784961898530643,12.996,1.9675,409.325,0.0
1778784962299205097,12.988,1.9325,1249.15,0.0
1778784962699956815,12.988,1.8975,535.3,0.0
1778784963100952187,12.992,1.9475,1633.6,0.0
1778784963501241122,12.992,1.9975,70.15,0.0
1778784963901417988,12.992,1.9475,214.075,0.0
1778784964302123510,12.992,1.9125,653.3,0.0
1778784964702759062,12.996,1.9675,355.3,0.0
1778784965103257307,12.988,1.9675,1084.275,0.0
1778784965503897436,12.984,1.9825,32.125,0.0
1778784965904505554,12.984,1.9975,98.025,0.0
1778784966305137809,12.992,2.0475,299.125,0.0
1778784966705653981,12.98,1.9825,912.85,0.0
1778784967106103840,12.984,2.0325,1147.375,0.0
1778784967506335815,12.988,2.0175,224.7,0.0
1778784967907084019,13.0,1.9975,685.725,0.0
1778784968307667640,12.98,2.0325,454.25,0.0
1778784968708134100,12.988,1.9825,1386.25,0.0
1778784969108268610,12.976,2.13,953.675,0.0
1778784969509013057,12.98,2.0325,1271.975,0.0
1778784969909557023,12.988,2.1,604.95,0.0
1778784970310272866,12.98,2.265,207.75,0.0
1778784970710974131,12.98,2.0475,634.0,0.0
1778784971111594041,12.98,2.0675,296.4,0.0
1778784971512373183,12.976,2.0475,904.525,0.0
1778784971912974558,12.976,2.0675,1121.975,0.0
1778784972313428915,12.972,2.165,147.175,0.0
1778784972714162772,12.976,1.9825,449.125,0.0
1778784973114485218,12.98,2.0325,1370.6,0.0
1778784973515262097,12.992,2.0325,905.925,0.0
1778784973915339198,12.976,1.9675,1126.25,0.0
1778784974315928259,12.972,1.9975,160.225,0.0
1778784974715940617,12.976,2.0175,488.95,0.0
1778784975116541551,12.98,2.0325,1492.15,0.0
1778784975516892451,12.972,2.0475,1276.875,0.0
1778784975917571243,12.972,2.0675,619.9,0.0
1778784976317505103,12.972,1.9825,253.375,0.0
1778784976718062996,12.972,1.9825,773.225,0.0
1778784977118586283,12.976,1.9975,721.275,0.0
1778784977519134486,12.964,2.0175,562.75,0.0
1778784977919498082,12.972,1.9975,78.975,0.0
1778784978320188406,12.968,2.0175,241.0,0.0
1778784978720519438,12.96,1.9975,735.45,0.0
1778784979120733309,12.972,1.9825,606.0,0.0
1778784979521098525,12.964,1.9825,210.95,0.0
1778784979921717022,12.98,2.0475,643.75,0.0
1778784980322180987,12.964,2.0675,326.15,0.0
1778784980722842937,12.964,2.15,995.325,0.0
1778784981123478858,12.96,1.9825,1399.075,0.0
1778784981524153563,12.964,1.9675,992.825,0.0
1778784981924510054,12.96,2.0175,1391.45,0.0
1778784982325360983,12.96,2.0325,969.55,0.0
1778784982726043622,12.96,1.9975,1320.425,0.0
1778784983126967559,12.956,1.9975,752.8,0.0
1778784983527601776,12.964,1.9825,658.95,0.0
1778784983927819746,12.956,2.0825,372.55,0.0
1778784984328546970,12.96,2.0325,1136.925,0.0
1778784984729222095,12.948,2.0475,192.8,0.0
1778784985129652097,12.956,1.9325,588.375,0.0
1778784985530154444,12.956,1.9125,157.175,0.0
1778784985930816375,12.948,1.9475,479.65,0.0
1778784986331352217,12.952,1.9975,1463.775,0.0
1778784986731872559,12.952,2.0325,1190.275,0.0
1778784987132494002,12.952,2.0825,355.625,0.0
1778784987533072452,12.956,1.8975,1085.275,0.0
1778784987933584510,12.948,1.9975,35.175,0.0
1778784988334223577,12.952,1.9825,107.325,0.0
1778784988734507190,12.956,1.9825,327.525,0.0
1778784989335447977,12.952,2.0325,999.525,0.0
1778784989735913424,12.948,2.0675,1411.9,0.0
1778784990136368242,12.948,2.165,1031.975,0.0
1778784990536819713,12.948,1.9825,1510.925,0.0
1778784990937458209,12.944,1.9975,1334.175,0.0
1778784991337987668,12.948,1.9675,794.775,0.0
1778784991939008647,12.952,2.0675,787.05,0.0
1778784992339223209,12.944,2.115,763.475,0.0
1778784992739908122,12.952,1.9675,691.525,0.0
1778784993140054946,12.948,1.8325,471.95,0.0
1778784993540892980,12.948,2.1,1440.275,0.0
1778784993941204576,12.94,2.0175,1118.55,0.0
1778784994341391686,12.94,1.9475,136.725,0.0
1778784994741839851,12.944,2.0475,417.25,0.0
1778784995142494407,12.94,2.4175,1273.325,0.0
1778784995543357910,12.932,2.0475,609.075,0.0
1778784995944117476,12.944,1.9125,220.325,0.0
1778784996344716597,12.936,1.9675,672.375,0.0
1778784996745471223,12.936,1.9825,413.525,0.0
1778784997146476846,12.932,1.9825,1261.975,0.0
1778784997546989223,12.936,2.0325,574.425,0.0
1778784997947500827,12.944,2.0175,114.6,0.0
1778784998348032781,12.932,1.9825,349.725,0.0
1778784998748471539,12.932,2.0825,1067.275,0.0
1778784999148986601,12.928,2.0475,1618.65,0.0
1778784999549014369,12.936,2.0475,24.525,0.0
1778784999949392020,12.936,1.9675,74.825,0.0
1778785000349974129,12.932,1.9975,228.325,0.0
1778785000750059205,12.932,1.9675,696.775,0.0
1778785001150633569,12.932,1.9975,487.975,0.0
1778785001551353128,12.928,2.0675,1489.175,0.0
1778785001951509670,12.928,2.0175,1267.8,0.0
