timestamp_ns,busv,current,power,hall_speed
1778785853659430479,12.584,1.9475,464.25,0.0
1778785854059057867,12.584,1.815,1416.775,0.0
1778785854459375042,12.58,1.85,1046.85,0.0
1778785854860139778,12.58,1.85,1556.325,0.0
1778785855260847006,12.58,1.85,1472.725,0.0
1778785857664229989,12.588,1.8975,464.25,0.0
1778785858064920406,12.584,1.8975,1416.775,0.0
1778785858465346185,12.596,1.9125,1046.85,0.0
1778785858866192717,12.584,1.9125,1556.325,0.0
1778785859266727290,12.6,1.8825,1472.725,0.0
1778785859667469354,12.592,1.8975,1217.6,0.0
1778785860068087274,12.588,1.765,439.0,0.0
1778785860468558449,12.592,1.75,1339.7,0.0
1778785860868594594,12.592,1.75,811.625,0.0
1778785861269211453,12.592,1.715,838.475,0.0
1778785861669700621,12.588,1.865,920.4,0.0
1778785862070150816,12.584,1.8,1170.425,0.0
1778785862470475045,12.596,1.9125,295.05,0.0
1778785862871077045,12.588,1.8325,900.4,0.0
1778785863271935909,12.596,2.0175,1109.4,0.0
1778785863872615359,12.592,1.8,108.8,0.0
1778785864273204786,12.596,1.8,332.025,0.0
1778785864673544523,12.588,1.85,1013.25,0.0
